"","Id","Bodyfat","Age","Weight","Height","Neck","Chest","Abdo","Hip","Thigh","Knee","Ankle","Bic","Fore","Wrist","Gender"
"1",69,6.3,54,70.42,69.25,37.5,89.3,78.4,96.1,56,37.4,22.4,32.6,28.1,18.1,"Female"
"2",98,11.3,50,73.71,66.5,38.7,99.4,86.7,96.2,62.1,39.3,23.3,30.6,27.8,18.2,"Female"
"3",146,14.2,24,70.76,70.75,35.7,92.7,81.9,95.3,56.4,36.5,22,33.5,28.3,17.3,"Female"
"4",227,14.8,55,76.88,68.25,37.2,101.7,91.1,97.1,56.6,38.5,22.6,33.4,29.3,18.8,"Female"
"5",53,8,51,62.26,67.75,36.5,89.7,82,89.1,49.3,33.7,21.4,29.6,26,16.9,"Female"
"6",223,11.5,54,73.37,67.5,37.4,94.2,87.6,95.6,59.7,40.2,23.4,27.9,27,17.8,"Female"
"7",233,15.4,58,79.61,71.5,38,100.2,88.1,97.8,57.1,38.9,23.6,30.9,29.6,18,"Female"
"8",164,15.1,34,63.5,70.5,36,89.2,83.4,89.6,52.4,35.6,20.4,28.3,26.2,16.5,"Female"
"9",156,17.3,28,77.79,75.25,35.6,92.1,83.5,98.3,57.3,37.8,21.7,32.2,27.7,17.7,"Female"
"10",15,22.1,35,85.16,69.5,40.5,101.3,96.4,100.1,69,39,23.1,36.1,30.5,18.2,"Male"
"11",248,11,70,60.89,67,34.9,89.2,83.6,88.8,49.6,34.8,21.5,25.6,25.7,18.5,"Male"
"12",45,7.7,39,56.81,68,31.5,85.1,76,88.2,50,34.7,21,26.1,23.1,16.1,"Female"
"13",167,21.8,35,75.41,68,38.5,99.1,90.4,95.6,55.5,34.2,21.9,30.2,28.7,17.7,"Female"
"14",95,9,47,83.57,74.5,37.3,99.6,88.8,101.4,57.4,39.6,24.6,30.3,27.9,17.8,"Male"
"15",186,8.6,40,75.98,71.5,39.4,89.5,83.7,98.1,57.3,39.7,22.6,32.9,29.3,18.2,"Female"
"16",121,27.9,52,93.67,74.5,40.8,104.3,99.2,104.1,58.5,39.3,24.6,33.9,31.2,19.5,"Female"
"17",171,3,35,69.06,67.75,37,92.2,81.9,92.8,54.7,36.2,22.1,30.4,27.4,17.7,"Female"
"18",234,26.7,58,73.37,67.25,35.1,94.9,94.9,100.2,56.8,35.9,21,27.8,26.1,17.6,"Female"
"19",92,18.2,44,81.53,69.5,39.2,101.9,93.2,100.6,58.9,39.7,23.1,31.4,28.4,18.8,"Female"
"20",183,11.5,40,66.11,67.25,35.5,95.5,83.6,91.6,54.1,36.2,21.8,31.4,28.3,17.2,"Female"
"21",218,7.5,51,70.08,70,36.9,93.3,81.5,94.4,54.7,39,22.6,27.5,25.9,18.6,"Female"
"22",52,6.6,40,63.16,69,34.3,89.2,77.9,91,51.4,34.9,21,26.7,26.1,17.2,"Female"
"23",152,19.6,26,109.66,74.5,41.8,108.3,102.9,114.4,72.9,43.5,25.1,38.5,33.8,19.6,"Female"
"24",28,22.9,31,67.13,67.5,38.8,97.4,88.7,94.7,57.5,36,21,29.2,26.6,17,"Female"
"25",63,30.7,54,87.66,70.25,38,107.6,102.4,99.4,61,39.4,23.6,32.7,29.9,19.1,"Female"
"26",91,20.5,46,80.29,70,37.2,99.7,95.6,102.2,58.3,38.2,22.5,29.1,27.7,17.7,"Female"
"27",3,25.3,22,69.85,66.25,34,95.8,87.9,99.2,59.6,38.9,24,28.8,25.2,16.6,"Female"
"28",89,8.3,46,80.17,72.5,38,97.3,86,99.3,61,38.4,23.8,30.2,29.3,18.8,"Female"
"29",196,25.5,42,81.65,68.25,38.5,101.6,96.6,100.6,61.1,38.4,24.1,32.9,29.8,18.8,"Female"
"30",79,21.5,81,73.14,70.25,37.8,96.4,95.4,99.3,53.5,37.5,21.5,31.4,26.8,18.3,"Male"
"31",111,19.7,43,77.45,68.5,37.2,96.3,90.6,99.3,61.9,38,22.3,33.3,28.2,18.1,"Female"
"32",135,24.4,41,76.32,69.5,36.5,98.4,87.2,98.4,56,36.9,23,34,29.8,18.1,"Female"
"33",112,28,43,83.12,70,37.1,108,105,103,63.7,40,23.6,33.5,27.8,17.4,"Female"
"34",43,31.6,48,98.43,70,37.3,113.3,111.2,114.1,67.7,40.9,25,36.7,29.8,18.4,"Female"
"35",181,26.6,39,99.45,74.25,40,108.5,104.6,109.8,68.1,42.8,24.1,35.6,29,19,"Female"
"36",147,19.2,24,94.57,72.75,39.2,102,99.1,110.1,71.2,43.5,25.2,36.1,30.3,18.7,"Female"
"37",173,20.5,35,80.4,71,38.4,100.5,90.3,98.7,57.8,37.3,22.4,31,28.7,17.7,"Female"
"38",23,15.6,31,63.62,68.25,33.9,86,76.4,94.6,57.4,35.3,22.2,27.9,25.9,16.7,"Female"
"39",157,31.2,28,93.33,69,38.5,105.6,105,106.4,68.6,40,25.2,35.2,30.7,19.1,"Female"
"40",249,33.6,72,91.17,69.75,40.9,108.5,105,104.5,59.6,40.8,23.2,35.2,28.6,20.1,"Male"
"41",175,25.3,36,102.85,71.75,41.5,115.3,108.8,114.4,69.2,42.4,24,35.4,21,20.1,"Female"
"42",139,22.4,40,76.32,71.25,34.3,98.3,88.5,98.3,58.1,38.4,22.5,31.7,27.4,17.6,"Female"
"43",166,19.2,35,98.43,73.75,40.5,107.5,95.1,104.5,64.8,41.3,25.6,36.4,33.7,19.4,"Female"
"44",119,25.8,40,86.64,74,38.3,95.4,92.4,104.3,64.6,41.1,24.8,33.6,29.5,18.5,"Male"
"45",113,22.1,47,80.85,70,40.2,99.7,95,98.6,62.3,38.1,23.9,35.3,31.1,19.8,"Female"
"46",165,27.3,34,99.22,72,39.5,111.4,106,108.8,63.8,42,23.4,34,31.2,18.5,"Female"
"47",5,28.7,24,83.57,71.25,34.4,97.3,100,101.9,63.2,42.2,24,32.2,27.7,17.7,"Male"
"48",102,20.4,48,78.81,72,37,99.1,92,98.3,59.3,38.4,22.4,27.9,26.2,17,"Female"
"49",151,9.4,26,69.06,69,35.4,92.9,77.6,93.5,56.9,35.9,20.4,31.6,29,17.8,"Female"
"50",143,23.3,52,75.75,67.75,37.5,102.7,91,98.9,57.1,36.7,22.3,31.6,27.5,17.9,"Female"
"51",100,22.2,47,89.36,72,40,107.5,94,103.7,62.7,39,22.3,35.3,30.9,18.3,"Female"
"52",174,16.9,36,79.95,71.5,38.7,98.2,90.3,99.9,59.2,37.7,21.5,32.4,28.4,17.8,"Female"
"53",213,19.5,49,76.32,71.75,38.3,98.3,89.7,99.1,56.3,38.8,23,29.5,27.9,18.6,"Female"
"54",51,10.2,47,71.78,72.25,34.9,90.2,86.7,98.3,52.6,37.2,22.4,26,25.8,17.3,"Female"
