,status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
1,... < 0 DM,6,critical account/ other credits existing (not at this bank),NA,NA,unknown/ no savings account,... >= 7 years,NA,male : single,none,4,real estate,67,NA,own,2,unskilled - residentskilled employee / official,NA,"yes, registered under the customers name",yes,good
2,0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,5951,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,real estate,22,none,own,1,unskilled - residentskilled employee / official,1,none,yes,bad
3,no checking account,NA,critical account/ other credits existing (not at this bank),education,2096,... < 100 DM,NA,2,NA,none,3,real estate,NA,NA,own,1,unskilled - resident,2,none,yes,good
4,... < 0 DM,NA,existing credits paid back duly till now,furniture/equipment,7882,... < 100 DM,4 <= ... < 7 years,2,male : single,guarantor,4,building society savings agreement/ life insurance,NA,none,for free,NA,NA,NA,none,yes,good
5,NA,24,delay in paying off in the past,car (new),NA,... < 100 DM,NA,3,male : single,NA,4,NA,53,none,for free,2,unskilled - residentskilled employee / official,2,NA,NA,bad
6,NA,36,NA,education,9055,NA,1 <= ... < 4 years,2,male : single,none,4,unknown / no property,NA,none,for free,NA,unskilled - resident,2,"yes, registered under the customers name",yes,good
7,no checking account,24,existing credits paid back duly till now,furniture/equipment,2835,500 <= ... < 1000 DM,... >= 7 years,3,NA,none,4,building society savings agreement/ life insurance,53,none,own,1,unskilled - residentskilled employee / official,1,none,yes,good
8,0 <= ... < 200 DM,NA,existing credits paid back duly till now,car (used),6948,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,"car or other, not in attribute Savings account/bonds",NA,none,NA,1,NA,1,NA,yes,good
9,no checking account,12,existing credits paid back duly till now,radio/television,3059,... >= 1000 DM,4 <= ... < 7 years,2,female : divorced/separated/married,NA,4,NA,61,none,own,1,unskilled - resident,1,none,yes,good
10,0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),5234,... < 100 DM,NA,4,male : married/widowed,NA,NA,NA,28,none,own,2,OTHER,1,none,yes,bad
11,NA,12,existing credits paid back duly till now,NA,NA,... < 100 DM,... < 1 year,3,female : divorced/separated/married,none,1,NA,25,NA,rent,1,unskilled - residentskilled employee / official,1,none,NA,bad
12,NA,NA,existing credits paid back duly till now,business,4308,... < 100 DM,... < 1 year,3,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,rent,NA,unskilled - residentskilled employee / official,1,none,yes,bad
13,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1567,... < 100 DM,NA,1,female : divorced/separated/married,NA,1,"car or other, not in attribute Savings account/bonds",NA,none,own,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
14,NA,24,NA,car (new),1199,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",60,none,own,NA,unskilled - resident,1,none,yes,bad
15,NA,15,existing credits paid back duly till now,car (new),1403,... < 100 DM,NA,2,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",28,none,rent,1,unskilled - residentskilled employee / official,1,none,yes,good
16,... < 0 DM,24,existing credits paid back duly till now,radio/television,1282,100 <= ... < 500 DM,NA,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",32,none,own,1,unskilled - resident,1,none,yes,bad
17,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2424,unknown/ no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,53,none,own,2,unskilled - residentskilled employee / official,1,none,yes,good
18,... < 0 DM,30,no credits taken/ all credits paid back duly,NA,8072,unknown/ no savings account,NA,2,male : single,NA,3,"car or other, not in attribute Savings account/bonds",25,bank,NA,3,unskilled - residentskilled employee / official,1,none,yes,good
19,0 <= ... < 200 DM,NA,existing credits paid back duly till now,NA,12579,... < 100 DM,... >= 7 years,4,NA,none,2,unknown / no property,44,none,for free,1,NA,NA,"yes, registered under the customers name",yes,bad
20,no checking account,24,existing credits paid back duly till now,radio/television,3430,500 <= ... < 1000 DM,... >= 7 years,3,male : single,none,2,"car or other, not in attribute Savings account/bonds",31,none,NA,1,unskilled - residentskilled employee / official,2,"yes, registered under the customers name",yes,good
21,no checking account,9,critical account/ other credits existing (not at this bank),car (new),2134,... < 100 DM,1 <= ... < 4 years,4,male : single,NA,4,"car or other, not in attribute Savings account/bonds",NA,none,own,3,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",NA,good
22,... < 0 DM,6,existing credits paid back duly till now,radio/television,NA,500 <= ... < 1000 DM,1 <= ... < 4 years,2,NA,none,3,NA,44,NA,rent,1,unskilled - residentskilled employee / official,2,none,yes,good
23,... < 0 DM,10,critical account/ other credits existing (not at this bank),car (new),NA,... < 100 DM,... < 1 year,1,male : single,none,NA,real estate,NA,none,NA,2,unskilled - resident,2,none,no,good
24,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1804,NA,... < 1 year,3,NA,NA,4,building society savings agreement/ life insurance,NA,none,own,1,unskilled - residentskilled employee / official,1,none,yes,good
25,NA,10,critical account/ other credits existing (not at this bank),furniture/equipment,2069,unknown/ no savings account,1 <= ... < 4 years,2,male : married/widowed,NA,1,"car or other, not in attribute Savings account/bonds",26,none,own,2,unskilled - residentskilled employee / official,1,none,no,good
26,... < 0 DM,6,existing credits paid back duly till now,furniture/equipment,NA,... < 100 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,NA,bank,NA,1,unskilled - resident,NA,"yes, registered under the customers name",yes,good
